customer_id,invoice_id,product_name,category,quantity,unit_price,total_amount,transaction_date,country,city
CUST0999,INV752055,Furniture,Home & Kitchen,1,48869.66,48869.66,2025-06-26 22:46:42,India,Mumbai
CUST0781,INV393066,Bedding,Home & Kitchen,3,44311.5,132934.5,2026-03-16 22:46:42,India,Jaipur
CUST0374,INV396512,TV,Electronics,5,13598.71,67993.54999999999,2025-05-08 22:46:42,India,Jaipur
CUST0701,INV239739,Spices,Groceries,3,37633.97,112901.91,2025-05-12 22:46:42,India,Chennai
CUST0610,INV111753,Decor,Home & Kitchen,5,32062.8,160314.0,2025-11-28 22:46:42,India,Kolkata
CUST0855,INV500793,DVD,Books & Media,2,39293.08,78586.16,2025-04-17 22:46:42,India,Jaipur
CUST0224,INV453246,Smartwatch,Electronics,5,24967.72,124838.6,2025-09-15 22:46:42,India,Hyderabad
CUST0525,INV286292,Book,Books & Media,4,45768.87,183075.48,2025-10-17 22:46:42,India,Mumbai
CUST0434,INV928939,DVD,Books & Media,1,31127.8,31127.8,2025-05-06 22:46:42,India,Kolkata
CUST0925,INV445065,Jewelry,Fashion,5,48201.07,241005.35,2026-01-24 22:46:42,India,Delhi
CUST0774,INV302635,Jewelry,Fashion,4,43528.78,174115.12,2026-02-20 22:46:42,India,Mumbai
CUST0090,INV517519,Sugar,Groceries,3,38762.58,116287.74,2025-05-11 22:46:42,India,Jaipur
CUST0554,INV134013,Handbag,Fashion,4,15965.0,63860.0,2025-05-21 22:46:42,India,Surat
CUST0535,INV271826,Laptop,Electronics,2,26904.93,53809.86,2025-06-14 22:46:42,India,Bangalore
CUST0646,INV995337,Tea,Groceries,5,31522.9,157614.5,2025-09-24 22:46:42,India,Pune
CUST0003,INV645920,Tea,Groceries,1,15132.31,15132.31,2025-08-29 22:46:42,India,Chennai
CUST0593,INV209862,Mixer Grinder,Home & Kitchen,1,1136.66,1136.66,2025-08-17 22:46:42,India,Pune
CUST0460,INV940755,Bedding,Home & Kitchen,1,13677.55,13677.55,2025-07-23 22:46:42,India,Delhi
CUST0101,INV492471,Bedding,Home & Kitchen,4,6607.24,26428.96,2025-12-06 22:46:42,India,Delhi
CUST0809,INV462861,Book,Books & Media,4,9595.02,38380.08,2025-05-20 22:46:42,India,Hyderabad
CUST0276,INV245900,Shoes,Fashion,3,15486.98,46460.94,2025-06-01 22:46:42,India,Surat
CUST0998,INV367357,Magazine,Books & Media,4,26917.79,107671.16,2025-05-31 22:46:42,India,Bangalore
CUST0884,INV548381,Pressure Cooker,Home & Kitchen,3,22842.52,68527.56,2026-03-14 22:46:42,India,Chennai
CUST0311,INV595503,Coffee,Groceries,3,12338.64,37015.92,2026-04-01 22:46:42,India,Kolkata
CUST0138,INV136508,Sugar,Groceries,1,14687.93,14687.93,2025-10-29 22:46:42,India,Delhi
CUST0148,INV978494,Oil,Groceries,3,40634.77,121904.31,2026-04-08 22:46:42,India,Hyderabad
CUST0912,INV890961,Refrigerator,Electronics,5,36843.61,184218.05,2025-09-27 22:46:42,India,Hyderabad
CUST0603,INV774582,Book,Books & Media,1,1343.21,1343.21,2026-02-08 22:46:42,India,Pune
CUST0921,INV526615,Laptop,Electronics,2,5491.17,10982.34,2025-10-09 22:46:42,India,Chennai
CUST0267,INV247585,Kurti,Fashion,1,35223.79,35223.79,2025-10-18 22:46:42,India,Ahmedabad
CUST0498,INV957108,Decor,Home & Kitchen,5,35367.29,176836.45,2025-11-05 22:46:42,India,Surat
CUST0429,INV434151,Book,Books & Media,2,30539.29,61078.58,2026-04-05 22:46:42,India,Kolkata
CUST0720,INV895580,Pressure Cooker,Home & Kitchen,5,2331.12,11655.599999999999,2025-04-15 22:46:42,India,Kolkata
CUST0222,INV424683,Decor,Home & Kitchen,2,20047.51,40095.02,2026-01-26 22:46:42,India,Ahmedabad
CUST0124,INV428090,Kurti,Fashion,2,35141.17,70282.34,2026-01-13 22:46:42,India,Bangalore
CUST0238,INV244263,Shoes,Fashion,5,41202.88,206014.4,2025-06-01 22:46:42,India,Delhi
CUST0847,INV166068,Milk Powder,Groceries,2,23552.7,47105.4,2025-09-05 22:46:42,India,Bangalore
CUST0023,INV843687,Headphones,Electronics,1,39511.87,39511.87,2026-04-04 22:46:42,India,Pune
CUST0590,INV386196,Sugar,Groceries,4,41144.5,164578.0,2025-08-04 22:46:42,India,Delhi
CUST0049,INV829202,Furniture,Home & Kitchen,3,23100.36,69301.08,2025-11-29 22:46:42,India,Hyderabad
CUST0405,INV375307,Laptop,Electronics,5,2945.38,14726.900000000001,2026-04-05 22:46:42,India,Kolkata
CUST0425,INV527984,Headphones,Books & Media,4,25403.72,101614.88,2026-02-23 22:46:42,India,Delhi
CUST0100,INV934837,Furniture,Home & Kitchen,5,49253.82,246269.1,2025-06-20 22:46:42,India,Chennai
CUST0416,INV737667,TV,Electronics,5,34308.02,171540.09999999998,2025-12-14 22:46:42,India,Delhi
CUST0424,INV499147,TV,Electronics,1,20910.88,20910.88,2025-12-09 22:46:42,India,Hyderabad
CUST0740,INV713404,Book,Books & Media,5,10058.84,50294.2,2025-06-25 22:46:42,India,Mumbai
CUST0646,INV515742,Refrigerator,Electronics,1,5032.77,5032.77,2026-01-25 22:46:42,India,Hyderabad
CUST0415,INV977260,Pressure Cooker,Home & Kitchen,1,18219.48,18219.48,2025-04-25 22:46:42,India,Surat
CUST0354,INV674521,Magazine,Books & Media,4,44968.17,179872.68,2025-06-06 22:46:42,India,Hyderabad
CUST0573,INV349711,Jewelry,Fashion,2,31569.07,63138.14,2025-07-23 22:46:42,India,Kolkata
CUST0285,INV102737,Refrigerator,Electronics,1,37306.76,37306.76,2025-09-11 22:46:42,India,Delhi
CUST0723,INV100534,DVD,Books & Media,5,3876.98,19384.9,2025-07-05 22:46:42,India,Chennai
CUST0633,INV421172,Laptop,Electronics,3,43248.26,129744.78,2025-09-17 22:46:42,India,Bangalore
CUST0312,INV152535,T-Shirt,Fashion,5,13582.63,67913.15,2025-09-07 22:46:42,India,Chennai
CUST0680,INV948650,Mixer Grinder,Home & Kitchen,2,8236.11,16472.22,2025-07-19 22:46:42,India,Pune
CUST0449,INV806840,Watch,Fashion,4,19684.55,78738.2,2026-02-15 22:46:42,India,Bangalore
CUST0287,INV725321,Magazine,Books & Media,1,18952.04,18952.04,2025-05-26 22:46:42,India,Delhi
CUST0699,INV239952,Mixer Grinder,Home & Kitchen,4,732.63,2930.52,2025-07-21 22:46:42,India,Mumbai
CUST0453,INV975501,Sugar,Groceries,2,8754.94,17509.88,2025-11-02 22:46:42,India,Kolkata
CUST0357,INV450150,Mixer Grinder,Home & Kitchen,5,14578.3,72891.5,2025-04-11 22:46:42,India,Hyderabad
CUST0451,INV525691,Jewelry,Fashion,3,9400.93,28202.79,2025-09-02 22:46:42,India,Chennai
CUST0809,INV186010,Spices,Groceries,3,18320.11,54960.33,2025-10-02 22:46:42,India,Hyderabad
CUST0691,INV685574,Headphones,Electronics,5,3216.31,16081.55,2025-07-08 22:46:42,India,Surat
CUST0518,INV684699,DVD,Books & Media,1,35750.26,35750.26,2026-02-02 22:46:42,India,Ahmedabad
CUST0568,INV200078,Milk Powder,Groceries,5,8167.3,40836.5,2025-10-15 22:46:42,India,Hyderabad
CUST0939,INV575595,DVD,Books & Media,2,4033.19,8066.38,2025-10-19 22:46:42,India,Kolkata
CUST0811,INV620355,Kurti,Fashion,2,41922.35,83844.7,2026-01-26 22:46:42,India,Bangalore
CUST0193,INV473109,Utensils,Home & Kitchen,4,13309.29,53237.16,2026-02-17 22:46:42,India,Pune
CUST0128,INV771590,Headphones,Books & Media,3,23421.93,70265.79000000001,2025-12-23 22:46:42,India,Jaipur
CUST0380,INV302303,Furniture,Home & Kitchen,5,37477.12,187385.6,2025-04-29 22:46:42,India,Chennai
